County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Marion County, FL","354,353","6,889",19.6,717,2,"-1,412"
"Marion County, IA","33,105",-111,-3.4,15,0.5,53
"Marion County, IL","37,902",-255,-6.7,17,0.4,74
"Marion County, IN","950,082","-3,527",-3.7,"3,203",3.4,"6,408"
"Marion County, KS","11,986",-8,-0.7,9,0.7,-36
"Marion County, KY","19,395",189,9.8,12,0.6,51
"Marion County, MO","28,634",-110,-3.8,11,0.4,68
"Marion County, MS","25,069",-2,-0.1,-2,-0.1,-39
"Marion County, OH","64,967",-389,-6,10,0.2,13
"Marion County, OR","341,286","3,445",10.2,324,1,"1,743"
"Marion County, SC","31,293",-418,-13.3,30,1,-73
"Marion County, TN","28,425",141,5,5,0.2,-42
"Marion County, TX","10,064",32,3.2,-5,-0.5,-49
"Marion County, WV","56,337",-81,-1.4,13,0.2,-70
"Mariposa County, CA","17,569",17,1,27,1.5,2
"Marlboro County, SC","26,825",-222,-8.2,11,0.4,-2
"Marquette County, MI","66,502",32,0.5,41,0.6,-29
"Marquette County, WI","15,308",187,12.3,2,0.1,-19
"Marshall County, AL","95,548",244,2.6,78,0.8,189
"Marshall County, IA","40,288",-91,-2.3,167,4.2,54
"Marshall County, IL","11,730",-164,-13.9,0,0,-3
"Marshall County, IN","46,498",-316,-6.8,45,1,115
"Marshall County, KY","31,382",193,6.2,4,0.1,-89
"Marshall County, MS","35,619",-155,-4.3,2,0.1,-6
"Marshall County, OK","16,434",126,7.7,22,1.3,36
"Marshall County, TN","32,931",884,27.2,18,0.6,53
"Marshall County, WV","31,190",-425,-13.5,-1,0,-89
"Martin County, FL","159,923","1,943",12.2,225,1.4,-727
"Martin County, IN","10,215",-15,-1.5,0,0,29
"Martin County, KY","11,452",-438,-37.4,-3,-0.3,-58
"Martin County, MN","19,850",-43,-2.2,-2,-0.1,7
"Martin County, NC","22,789",-235,-10.2,-1,0,-57
"Martinsville city, VA","13,142",-37,-2.8,5,0.4,55
"Mason County, IL","13,715",37,2.7,0,0,-27
"Mason County, KY","17,174",7,0.4,-2,-0.1,12
"Mason County, MI","29,073",216,7.5,11,0.4,2
"Mason County, WA","63,710","1,479",23.5,115,1.8,-12
"Mason County, WV","26,801",-29,-1.1,-9,-0.3,-69
"Massac County, IL","14,344",-98,-6.8,1,0.1,-28
"Matagorda County, TX","36,840",-456,-12.3,15,0.4,163
"Matanuska-Susitna Borough, AK","106,532","1,361",12.9,69,0.7,979
"Maui County, HI","166,260",-501,-3,820,4.9,568
"Maury County, TN","92,163","2,254",24.8,68,0.7,242
"Maverick County, TX","58,216",-820,-14.1,316,5.4,728
"Mayes County, OK","40,921",29,0.7,5,0.1,-82
"McClain County, OK","39,343",633,16.2,12,0.3,100
"McCracken County, KY","65,385",46,0.7,13,0.2,-11
"McCreary County, KY","17,465",-141,-8.1,0,0,51
"McCurtain County, OK","32,808",-124,-3.8,22,0.7,-6
"McDonald County, MO","22,828",-144,-6.3,67,2.9,138
"McDonough County, IL","30,823",-629,-20.2,84,2.7,-24
"McDowell County, NC","45,159",146,3.2,60,1.3,-32
"McDowell County, WV","18,456",-562,-29.9,19,1,-144
"McDuffie County, GA","21,498",15,0.7,-8,-0.4,35
"McHenry County, IL","309,122",-431,-1.4,346,1.1,"1,241"
"McIntosh County, GA","14,106",46,3.3,0,0,-12
"McIntosh County, OK","19,742",53,2.7,5,0.3,-75
"McKean County, PA","41,330",-84,-2,18,0.4,-121
"McKenzie County, ND","12,724",-58,-4.6,7,0.6,157
"McKinley County, NM","72,564",-823,-11.3,104,1.4,321
"McLean County, IL","172,290","-1,947",-11.3,642,3.7,897
"McLennan County, TX","251,259","1,962",7.9,426,1.7,"1,393"
"McLeod County, MN","35,884",46,1.3,15,0.4,77
"McMinn County, TN","52,877",233,4.4,61,1.2,-72
"McNairy County, TN","26,004",272,10.5,-2,-0.1,-77
"McPherson County, KS","28,708",313,11,14,0.5,-20
"Meade County, KY","28,154",83,3,14,0.5,44
"Meade County, SD","28,018",540,19.5,18,0.7,95
"Mecklenburg County, NC","1,076,837","5,855",5.5,"5,126",4.8,"8,572"
"Mecklenburg County, VA","30,686",83,2.7,16,0.5,-198
"Mecosta County, MI","43,391",89,2.1,71,1.6,61
"Medina County, OH","178,371","1,058",6,84,0.5,340
"Medina County, TX","50,066",698,14.1,7,0.1,164
"Meeker County, MN","23,131",-67,-2.9,32,1.4,68
"Meigs County, OH","23,080",-35,-1.5,1,0,-62
"Meigs County, TN","12,068",145,12.1,-3,-0.2,-22
"Menard County, IL","12,245",-121,-9.8,-3,-0.2,-30
"Mendocino County, CA","88,018",158,1.8,81,0.9,174
"Menominee County, MI","23,046",-130,-5.6,-1,0,-44
"Merced County, CA","272,673","1,021",3.8,414,1.5,"2,370"
"Mercer County, IL","15,618",40,2.6,5,0.3,-57
"Mercer County, KY","21,521",138,6.4,20,0.9,-30
"Mercer County, NJ","374,733","-3,261",-8.7,"3,218",8.6,"1,098"
"Mercer County, OH","40,873",-49,-1.2,12,0.3,202
"Mercer County, PA","111,750",-641,-5.7,50,0.4,-332
"Mercer County, WV","59,753",-559,-9.3,0,0,-182
"Meriwether County, GA","21,049",-1,0,2,0.1,-23
"Merrimack County, NH","149,216",708,4.8,335,2.3,45
"Mesa County, CO","151,616","1,546",10.3,-40,-0.3,311
"Metcalfe County, KY","10,107",96,9.5,1,0.1,0
"Miami County, IN","35,845",-262,-7.3,20,0.6,17
"Miami County, KS","33,461",419,12.6,9,0.3,71
"Miami County, OH","105,122",547,5.2,50,0.5,149
"Miami-Dade County, FL","2,751,796","-47,871",-17.4,"52,501",19.1,"10,439"
"Middlesex County, CT","163,410",-240,-1.5,349,2.1,-126
"Middlesex County, MA","1,602,947","-10,137",-6.3,"13,269",8.3,"5,491"
"Middlesex County, NJ","842,798","-8,384",-10,"8,298",9.9,"2,855"
"Middlesex County, VA","10,679",-49,-4.6,0,0,-40
"Midland County, MI","83,411",-290,-3.5,181,2.2,88
"Midland County, TX","165,049",-728,-4.4,433,2.6,"1,872"
"Mifflin County, PA","46,388",-17,-0.4,21,0.5,73
"Milam County, TX","25,053",255,10.2,25,1,39
"Millard County, UT","12,863",51,4,19,1.5,112
"Mille Lacs County, MN","25,872",226,8.8,9,0.3,23
"Miller County, AR","43,984",-26,-0.6,-22,-0.5,159
"Miller County, MO","25,228",185,7.4,-2,-0.1,52
"Mills County, IA","15,068",0,0,-2,-0.1,28
"Milwaukee County, WI","952,085","-11,588",-12.2,"2,975",3.1,"5,318"
"Mineral County, WV","27,222",-44,-1.6,8,0.3,-63
"Mingo County, WV","24,127",-490,-20.1,0,0,-63
"Minidoka County, ID","20,729",-39,-1.9,29,1.4,156
"Minnehaha County, SD","188,616",252,1.3,723,3.9,"1,594"
"Missaukee County, MI","14,998",-55,-3.7,12,0.8,9
"Mississippi County, AR","42,159",-866,-20.4,12,0.3,125
"Mississippi County, MO","13,586",-113,-8.3,-5,-0.4,-32
"Missoula County, MT","117,441","1,080",9.3,94,0.8,364
"Mitchell County, GA","22,292",-151,-6.8,6,0.3,25
"Mitchell County, IA","10,631",-18,-1.7,4,0.4,-10
"Mitchell County, NC","15,072",61,4,20,1.3,-76
"Mobile County, AL","413,955","-2,378",-5.7,493,1.2,994
"Moffat County, CO","13,131",-139,-10.6,6,0.5,102
"Mohave County, AZ","207,200","3,276",15.9,-105,-0.5,"-1,371"
"Moniteau County, MO","16,063",-5,-0.3,17,1.1,45
"Monmouth County, NJ","626,351","-1,888",-3,"1,335",2.1,132
"Mono County, CA","14,168",-79,-5.6,45,3.2,101
"Monongalia County, WV","105,030",-547,-5.2,412,3.9,393
"Monroe County, AL","21,327",-207,-9.7,-2,-0.1,-35
"Monroe County, FL","77,013",-775,-10,509,6.6,-24
"Monroe County, GA","27,113",293,10.9,-7,-0.3,-51
"Monroe County, IL","34,097",183,5.4,-5,-0.1,43
"Monroe County, IN","146,986",-157,-1.1,994,6.8,458
"Monroe County, KY","10,659",80,7.5,10,0.9,-9
"Monroe County, MI","149,649",270,1.8,78,0.5,87
"Monroe County, MS","35,872",-12,-0.3,0,0,-22
"Monroe County, NY","747,642","-4,168",-5.6,"3,074",4.1,"1,408"
"Monroe County, OH","13,946",-95,-6.8,-1,-0.1,-54
"Monroe County, PA","168,046","1,308",7.8,342,2,-109
"Monroe County, TN","46,240",274,5.9,66,1.4,-65
"Monroe County, WI","45,625",66,1.5,6,0.1,200
"Monroe County, WV","13,402",-55,-4.1,11,0.8,-30
"Montague County, TX","19,539",97,5,14,0.7,-7
"Montcalm County, MI","63,550",461,7.3,9,0.1,119
"Monterey County, CA","437,907","-3,205",-7.3,"1,029",2.4,"3,716"
"Montezuma County, CO","26,140",165,6.3,-21,-0.8,22
"Montgomery County, AL","226,646","-1,301",-5.7,356,1.6,880
"Montgomery County, IA","10,137",-7,-0.7,9,0.9,2
"Montgomery County, IL","28,790",-226,-7.8,-1,0,-63
"Montgomery County, IN","38,525",61,1.6,56,1.5,89
"Montgomery County, KS","32,556",-438,-13.4,59,1.8,67
"Montgomery County, KY","27,928",212,7.6,-5,-0.2,61
"Montgomery County, MD","1,058,810","-7,367",-7,"11,090",10.5,"6,738"
"Montgomery County, MO","11,438",-13,-1.1,5,0.4,-30
"Montgomery County, MS","10,173",-90,-8.8,4,0.4,0
"Montgomery County, NC","27,435",-59,-2.2,25,0.9,32
"Montgomery County, NY","49,258",-229,-4.6,144,2.9,78
"Montgomery County, OH","531,542","-1,656",-3.1,"1,131",2.1,693
"Montgomery County, PA","826,075","1,586",1.9,"2,879",3.5,"1,011"
"Montgomery County, TN","200,182","2,905",14.7,257,1.3,"2,200"
"Montgomery County, TX","570,934","11,230",20,"1,434",2.5,"3,723"
"Montgomery County, VA","98,559",-790,-8,679,6.9,223
"Montour County, PA","18,272",7,0.4,43,2.4,-6
"Montrose County, CO","41,784",614,14.8,-4,-0.1,13
"Moore County, NC","97,264","1,842",19.1,76,0.8,-48
"Moore County, TX","22,097",-356,-16.2,193,8.8,324
"Morehouse Parish, LA","25,641",-256,-9.9,4,0.2,-20
"Morgan County, AL","118,818",-214,-1.8,97,0.8,118
"Morgan County, CO","28,192",-156,-5.5,94,3.3,193
"Morgan County, GA","18,412",245,13.4,0,0,47
"Morgan County, IL","33,798",-409,-12,30,0.9,-16
"Morgan County, IN","69,713",42,0.6,24,0.3,96
"Morgan County, KY","13,188",-12,-0.9,1,0.1,-35
"Morgan County, MO","20,145",85,4.2,-4,-0.2,-34
"Morgan County, OH","14,709",-42,-2.9,2,0.1,-13
"Morgan County, TN","21,636",-71,-3.3,0,0,-16
"Morgan County, UT","11,873",367,31.6,8,0.7,126
"Morgan County, WV","17,686",194,11,-2,-0.1,-90
"Morris County, NJ","499,693","-2,254",-4.5,"2,228",4.5,874
"Morris County, TX","12,467",-36,-2.9,14,1.1,0
"Morrison County, MN","33,064",82,2.5,4,0.1,61
"Morrow County, OH","34,994",-33,-0.9,4,0.1,71
"Morrow County, OR","11,166",-152,-13.6,4,0.4,95
"Morton County, ND","30,796",-61,-2,6,0.2,238
"Moultrie County, IL","14,688",74,5.1,2,0.1,15
"Mountrail County, ND","10,265",-86,-8.4,7,0.7,97
"Mower County, MN","39,566",-2,-0.1,101,2.6,139
"Muhlenberg County, KY","30,816",-157,-5.1,-1,0,-90
"Multnomah County, OR","807,555",-896,-1.1,"3,430",4.3,"3,493"
"Murray County, GA","39,782",316,8,37,0.9,53
"Murray County, OK","13,853",20,1.4,4,0.3,-32
"Muscatine County, IA","42,880",-288,-6.7,99,2.3,164
"Muscogee County, GA","194,058","-3,552",-18.2,392,2,899
"Muskegon County, MI","173,693",188,1.1,59,0.3,351
"Muskingum County, OH","86,149",110,1.3,63,0.7,54
"Muskogee County, OK","69,086",30,0.4,23,0.3,-10
"Nacogdoches County, TX","65,580",-476,-7.3,123,1.9,269
"Nantucket County, MA","11,229",-55,-4.9,84,7.5,111
"Napa County, CA","140,973","-1,129",-8,321,2.3,132
"Nash County, NC","93,991",-95,-1,85,0.9,-6
"Nassau County, FL","82,721","2,881",35.4,-18,-0.2,-78
"Nassau County, NY","1,369,514","-4,562",-3.3,"5,280",3.9,"2,958"
"Natchitoches Parish, LA","39,021",-80,-2.1,21,0.5,87
"Natrona County, WY","79,547","-1,761",-22,34,0.4,373
"Navajo County, AZ","108,956",85,0.8,59,0.5,494
"Navarro County, TX","48,701",178,3.7,21,0.4,130
"Nelson County, KY","45,640",-18,-0.4,-6,-0.1,154
"Nelson County, VA","14,943",56,3.8,18,1.2,-25
"Nemaha County, KS","10,118",-40,-4,0,0,58
"Neosho County, KS","16,015",-63,-3.9,12,0.7,9
"Neshoba County, MS","29,369",-93,-3.2,-6,-0.2,31
"Nevada County, CA","99,814",804,8.1,26,0.3,-64
"New Castle County, DE","559,793","-1,996",-3.6,"2,128",3.8,"1,813"
"New Hanover County, NC","227,198","3,404",15.1,210,0.9,331
"New Haven County, CT","860,435","-4,887",-5.7,"4,323",5,"1,015"
"New Kent County, VA","21,682",559,26.2,15,0.7,76
"New London County, CT","269,033","-1,034",-3.8,720,2.7,43
"New Madrid County, MO","17,582",-296,-16.7,4,0.2,-15
"New York County, NY","1,664,727","-22,412",-13.5,"18,650",11.2,"6,344"
"Newaygo County, MI","48,242",431,9,17,0.4,9
"Newberry County, SC","38,488",382,10,46,1.2,16
"Newport County, RI","83,460",-234,-2.8,217,2.6,-15
"Newport News city, VA","179,388","-2,704",-15,480,2.7,"1,219"
"Newton County, GA","108,078",866,8.1,77,0.7,557
"Newton County, IN","14,130",31,2.2,19,1.3,32
"Newton County, MO","58,290",-36,-0.6,34,0.6,75
"Newton County, MS","21,185",-181,-8.5,3,0.1,-22
"Newton County, TX","13,952",-200,-14.2,7,0.5,-43
"Nez Perce County, ID","40,385",254,6.3,10,0.2,27
"Niagara County, NY","211,328",-446,-2.1,203,1,-219
"Nicholas County, WV","25,043",-158,-6.3,-3,-0.1,-88
"Nicollet County, MN","33,966",152,4.5,36,1.1,124
"Noble County, IN","47,452",-183,-3.9,0,0,193
"Noble County, OH","14,406",-37,-2.6,1,0.1,0
"Noble County, OK","11,277",-72,-6.4,-1,-0.1,-14
"Nobles County, MN","21,944",-512,-23.3,226,10.3,212
"Nodaway County, MO","22,472",-106,-4.7,19,0.8,65
"Nolan County, TX","14,770",-224,-15.1,8,0.5,18
"Norfolk city, VA","244,703","-3,017",-12.3,658,2.7,"1,544"
"Norfolk County, MA","700,322","-1,494",-2.1,"3,676",5.3,"1,340"
"Northampton County, NC","19,862",-211,-10.5,22,1.1,-113
"Northampton County, PA","303,405","1,041",3.4,744,2.5,-119
"Northampton County, VA","11,846",-81,-6.8,20,1.7,-98
"Northumberland County, PA","92,029",-307,-3.3,29,0.3,-168
"Northumberland County, VA","12,275",169,13.8,10,0.8,-99
"Nottoway County, VA","15,434",-31,-2,16,1,-60
"Nowata County, OK","10,306",-72,-7,1,0.1,-24
"Noxubee County, MS","10,742",-204,-18.8,16,1.5,15
"Nueces County, TX","361,221","-2,993",-8.3,716,2,"1,963"
"Nye County, NV","44,202","1,125",25.7,-7,-0.2,-319
"Oakland County, MI","1,250,836","-3,498",-2.8,"5,771",4.6,"2,827"
"Obion County, TN","30,385",-127,-4.2,-5,-0.2,-7
"O'Brien County, IA","13,801",-126,-9.1,5,0.4,1
"Ocean County, NJ","597,943","2,831",4.8,681,1.1,"1,512"
"Oceana County, MI","26,442",67,2.5,41,1.6,54
"Ochiltree County, TX","10,073",-358,-35.2,30,2.9,105
"Oconee County, GA","38,028","1,022",27.3,10,0.3,131
"Oconee County, SC","77,270",885,11.5,97,1.3,-120
"Oconto County, WI","37,553",99,2.6,19,0.5,-34
"Ogemaw County, MI","20,981",164,7.8,11,0.5,-94
"Oglala Lakota County, SD","14,354",-167,-11.6,-2,-0.1,131
"Ogle County, IL","51,063",-183,-3.6,38,0.7,40
"Oglethorpe County, GA","14,877",161,10.9,2,0.1,4
"Ohio County, KY","24,182",-40,-1.7,14,0.6,13
"Ohio County, WV","42,035",-439,-10.4,0,0,-125
"Okaloosa County, FL","202,970","1,892",9.4,211,1,943
"Okanogan County, WA","41,742",168,4,82,2,15
"Okeechobee County, FL","41,605",754,18.3,64,1.6,85
"Okfuskee County, OK","12,140",33,2.7,10,0.8,-8
"Oklahoma County, OK","787,958","-4,385",-5.6,"2,768",3.5,"5,395"
"Okmulgee County, OK","38,930",-150,-3.8,3,0.1,-27
"Oktibbeha County, MS","49,799",-88,-1.8,108,2.2,201
"Oldham County, KY","66,415",925,14,20,0.3,142
"Olmsted County, MN","154,930",-48,-0.3,690,4.5,"1,113"
"Oneida County, NY","231,332",-821,-3.5,893,3.9,-11
"Oneida County, WI","35,254",8,0.2,14,0.4,-140
"Onondaga County, NY","465,398","-4,324",-9.3,"2,103",4.5,969
"Onslow County, NC","193,893","-1,058",-5.5,-56,-0.3,"2,821"
"Ontario County, NY","109,899",207,1.9,158,1.4,-44
"Orange County, CA","3,190,400","-17,989",-5.6,"14,239",4.5,"16,485"
"Orange County, FL","1,348,975","3,113",2.3,"13,700",10.3,"8,564"
"Orange County, IN","19,426",-80,-4.1,8,0.4,18
"Orange County, NC","144,946","1,051",7.3,787,5.5,390
"Orange County, NY","382,226",-595,-1.6,812,2.1,"2,100"
"Orange County, TX","85,047",335,4,-8,-0.1,217
"Orange County, VA","36,073",482,13.5,50,1.4,60
"Orange County, VT","28,974",45,1.6,17,0.6,-4
"Orangeburg County, SC","87,476",-755,-8.6,47,0.5,-149
"Oregon County, MO","10,558",-149,-14,-3,-0.3,-27
"Orleans County, NY","40,983",-367,-8.9,37,0.9,20
"Orleans County, VT","26,841",109,4.1,6,0.2,-23
"Orleans Parish, LA","393,292","-2,210",-5.6,991,2.5,"1,501"
"Osage County, KS","15,772",34,2.2,1,0.1,-49
"Osage County, MO","13,662",25,1.8,3,0.2,39
"Osage County, OK","47,233",10,0.2,7,0.1,-98
"Osceola County, FL","352,180","6,583",19.1,"5,453",15.8,"2,129"
"Osceola County, MI","23,260",78,3.4,13,0.6,0
"Oswego County, NY","118,478",-602,-5.1,83,0.7,90
"Otero County, CO","18,326",78,4.3,1,0.1,9
"Otero County, NM","65,817",-113,-1.7,374,5.7,375
"Otoe County, NE","16,027",-51,-3.2,48,3,47
"Otsego County, MI","24,538",159,6.5,18,0.7,-23
"Otsego County, NY","60,094",-198,-3.3,65,1.1,-116
"Ottawa County, MI","286,383","1,141",4,500,1.8,"1,511"
"Ottawa County, OH","40,657",337,8.3,0,0,-171
"Ottawa County, OK","31,312",-152,-4.8,14,0.4,-71
"Otter Tail County, MN","58,345",265,4.6,94,1.6,10
"Ouachita County, AR","23,868",-98,-4.1,10,0.4,-62
"Ouachita Parish, LA","155,874","-1,726",-11,103,0.7,561
"Outagamie County, WI","186,059",175,0.9,229,1.2,"1,011"
"Overton County, TN","22,012",116,5.3,2,0.1,-84
"Owen County, IN","20,839",-80,-3.8,0,0,-1
"Owen County, KY","10,765",130,12.1,0,0,-28
"Owyhee County, ID","11,628",210,18.3,9,0.8,47
"Oxford County, ME","57,439",518,9,10,0.2,-183
"Ozaukee County, WI","88,429",126,1.4,73,0.8,58
"Pacific County, WA","21,626",526,24.6,12,0.6,-123
"Page County, IA","15,224",-87,-5.7,16,1,-40
"Page County, VA","23,731",193,8.2,-1,0,-51
"Palm Beach County, FL","1,471,150","6,552",4.5,"11,038",7.5,-156
"Palo Pinto County, TX","28,570",418,14.7,22,0.8,-2
"Pamlico County, NC","12,689",-53,-4.2,8,0.6,-64
"Panola County, MS","33,994",-247,-7.2,17,0.5,65
"Panola County, TX","23,243",-219,-9.4,29,1.2,-6
"Park County, CO","17,905",533,30.2,2,0.1,14
"Park County, MT","16,353",262,16.1,3,0.2,-11
"Park County, WY","29,568",75,2.5,21,0.7,63
"Parke County, IN","16,886",-115,-6.8,2,0.1,43
"Parker County, TX","133,463","4,122",31.4,60,0.5,411
"Pasco County, FL","525,643","14,901",28.8,"1,074",2.1,-946
"Pasquotank County, NC","39,743",-31,-0.8,65,1.6,96
"Passaic County, NJ","512,607","-6,011",-11.7,"4,190",8.2,"3,148"
"Patrick County, VA","17,665",13,0.7,2,0.1,-116
"Paulding County, GA","159,445","3,163",20.1,97,0.6,802
"Paulding County, OH","18,845",-26,-1.4,8,0.4,27
"Pawnee County, OK","16,472",-49,-3,9,0.5,9
"Payette County, ID","23,215",223,9.7,-21,-0.9,93
"Payne County, OK","81,575",-502,-6.2,441,5.4,382
"Peach County, GA","27,099",77,2.9,66,2.4,56
"Pearl River County, MS","55,270",246,4.5,-22,-0.4,-23
"Pecos County, TX","15,634",-338,-21.5,2,0.1,93
"Pemiscot County, MO","16,826",-285,-16.8,-3,-0.2,11
"Pend Oreille County, WA","13,354",246,18.6,-5,-0.4,-12
"Pender County, NC","60,958","1,946",32.5,38,0.6,69
"Pendleton County, KY","14,573",-29,-2,3,0.2,23
"Pennington County, MN","14,238",-81,-5.7,26,1.8,41
"Pennington County, SD","110,141",640,5.8,19,0.2,576
"Penobscot County, ME","151,957",552,3.6,86,0.6,-188
"Peoria County, IL","183,011","-3,526",-19.1,408,2.2,820
"Perquimans County, NC","13,474",83,6.2,-5,-0.4,-30
"Perry County, AR","10,348",78,7.6,0,0,-1
"Perry County, IL","21,285",-100,-4.7,12,0.6,-9
"Perry County, IN","19,081",18,0.9,-2,-0.1,57
"Perry County, KY","26,553",-570,-21.2,-1,0,-43
"Perry County, MO","19,225",21,1.1,2,0.1,3
"Perry County, MS","12,032",-51,-4.2,-2,-0.2,10
"Perry County, OH","36,024",-68,-1.9,7,0.2,67
"Perry County, PA","46,127",30,0.7,14,0.3,99
"Person County, NC","39,370",125,3.2,-3,-0.1,-33
"Petersburg city, VA","31,750",-394,-12.4,81,2.5,216
"Pettis County, MO","42,558",70,1.7,55,1.3,156
"Phelps County, MO","44,744",-369,-8.2,231,5.2,54
"Philadelphia County, PA","1,580,863","-10,817",-6.9,"10,240",6.5,"6,750"
"Phillips County, AR","18,572",-507,-27,1,0.1,25
"Piatt County, IL","16,445",-93,-5.6,3,0.2,8
"Pickaway County, OH","57,830",245,4.2,12,0.2,46
"Pickens County, AL","20,176",-119,-5.9,6,0.3,-25
"Pickens County, GA","31,588",934,30,12,0.4,-56
"Pickens County, SC","123,479",190,1.5,257,2.1,99
"Pierce County, GA","19,307",46,2.4,0,0,45
"Pierce County, WA","876,764","10,736",12.4,"1,388",1.6,"4,842"
"Pierce County, WI","41,901",309,7.4,49,1.2,115
"Pike County, AL","33,267",-104,-3.1,109,3.3,48
"Pike County, AR","10,726",-90,-8.4,6,0.6,-7
"Pike County, GA","18,217",309,17.1,2,0.1,-17
"Pike County, IL","15,821",-55,-3.5,0,0,-5
"Pike County, IN","12,365",-54,-4.4,2,0.2,-10
"Pike County, KY","58,883","-1,381",-23.1,22,0.4,-209
"Pike County, MO","18,567",34,1.8,-1,-0.1,31
"Pike County, MS","39,468",-162,-4.1,10,0.3,16
"Pike County, OH","28,270",52,1.8,1,0,-20
"Pike County, PA","55,691",554,10,53,1,-102
"Pima County, AZ","1,022,769","6,066",6,"2,570",2.5,"1,609"
"Pinal County, AZ","430,237","12,437",29.4,"1,152",2.7,"1,452"
"Pine County, MN","29,203",345,11.9,2,0.1,-21
"Pinellas County, FL","970,637","9,147",9.5,"3,174",3.3,"-3,822"
"Piscataquis County, ME","16,773",-19,-1.1,1,0.1,-84
"Pitkin County, CO","17,890",-192,-10.7,81,4.5,108
"Pitt County, NC","179,042",396,2.2,225,1.3,796
"Pittsburg County, OK","44,184",-140,-3.2,2,0,-72
"Pittsylvania County, VA","61,258",-169,-2.7,7,0.1,-251
"Placer County, CA","386,166","5,431",14.2,495,1.3,507
"Plaquemines Parish, LA","23,348",-89,-3.8,24,1,87
"Platte County, MO","101,187","1,723",17.2,224,2.2,584
"Platte County, NE","33,175",-59,-1.8,57,1.7,232
"Plumas County, CA","18,742",12,0.6,7,0.4,-64
"Plymouth County, IA","25,220",-95,-3.8,44,1.7,67
"Plymouth County, MA","515,142","1,352",2.6,"1,480",2.9,523
"Poinsett County, AR","24,154",128,5.3,14,0.6,5
"Pointe Coupee Parish, LA","22,268",60,2.7,8,0.4,45
"Polk County, AR","20,118",27,1.3,13,0.6,-63
"Polk County, FL","686,483","15,226",22.5,"3,171",4.7,"1,006"
"Polk County, GA","42,085",212,5.1,67,1.6,76
"Polk County, IA","481,830","2,033",4.3,"1,483",3.1,"3,542"
"Polk County, MN","31,619",-165,-5.2,49,1.5,101
"Polk County, MO","31,794",361,11.4,6,0.2,15
"Polk County, NC","20,558",285,13.9,5,0.2,-152
"Polk County, OR","83,696","1,881",22.8,106,1.3,261
"Polk County, TN","16,757",43,2.6,-7,-0.4,-50
"Polk County, TX","49,162","1,352",27.9,139,2.9,-75
"Polk County, WI","43,450",156,3.6,16,0.4,-16
"Pontotoc County, MS","31,640",27,0.9,-11,-0.3,190
"Pontotoc County, OK","38,224",-269,-7,58,1.5,-8
"Pope County, AR","63,835",-360,-5.6,94,1.5,251
"Pope County, MN","10,970",7,0.6,1,0.1,1
"Poquoson city, VA","12,053",117,9.8,-1,-0.1,-8
"Portage County, OH","162,277",-425,-2.6,546,3.4,-6
"Portage County, WI","70,474",49,0.7,65,0.9,176
"Porter County, IN","168,404",769,4.6,120,0.7,88
"Portsmouth city, VA","94,572",-952,-10,93,1,439
"Posey County, IN","25,595",-81,-3.2,4,0.2,40
"Pottawatomie County, KS","23,908",124,5.2,11,0.5,180
"Pottawatomie County, OK","72,226",181,2.5,28,0.4,38
"Pottawattamie County, IA","93,386",-398,-4.3,75,0.8,201
"Potter County, PA","16,802",-95,-5.6,3,0.2,-29
"Potter County, TX","120,458","-1,494",-12.4,701,5.8,706
"Powell County, KY","12,374",38,3.1,3,0.2,38
"Poweshiek County, IA","18,314",29,1.6,32,1.7,-38
"Powhatan County, VA","28,601",210,7.4,12,0.4,-17
"Preble County, OH","41,120",25,0.6,18,0.4,-25
"Prentiss County, MS","25,261",-195,-7.7,3,0.1,59
"Presque Isle County, MI","12,791",140,11,6,0.5,-80
"Preston County, WV","33,679",6,0.2,7,0.2,-43
"Price County, WI","13,442",41,3.1,21,1.6,-43
"Prince Edward County, VA","22,703",-367,-16.1,24,1,21
"Prince George County, VA","37,809",-145,-3.8,53,1.4,93
"Prince George's County, MD","912,756","-10,101",-11.1,"6,523",7.2,"5,182"
"Prince William County, VA","463,023",-713,-1.6,"2,406",5.2,"4,773"
"Providence County, RI","637,357","-4,235",-6.7,"4,312",6.8,"1,759"
"Prowers County, CO","12,070",11,0.9,18,1.5,53
"Pueblo County, CO","166,475","1,445",8.7,53,0.3,144
"Pulaski County, AR","393,956","-2,251",-5.7,816,2.1,"1,729"
"Pulaski County, GA","11,201",-62,-5.5,-2,-0.2,-42
"Pulaski County, IN","12,534",-74,-5.9,4,0.3,-7
"Pulaski County, KY","64,449",440,6.9,46,0.7,-50
"Pulaski County, MO","52,059","-1,227",-23.4,171,3.3,498
"Pulaski County, VA","34,184",66,1.9,1,0,-123
"Pushmataha County, OK","11,173",97,8.7,8,0.7,4
"Putnam County, FL","73,464","1,148",15.7,28,0.4,-116
"Putnam County, GA","21,730",195,9,12,0.6,-25
"Putnam County, IN","37,702",372,9.9,44,1.2,24
"Putnam County, NY","99,323",-68,-0.7,208,2.1,80
"Putnam County, OH","33,878",-274,-8.1,16,0.5,120
"Putnam County, TN","77,674","1,046",13.6,367,4.8,135
"Putnam County, WV","56,792",96,1.7,14,0.2,-6
"Queen Anne's County, MD","49,770",439,8.9,76,1.5,79
"Queens County, NY","2,358,582","-40,874",-17.3,"29,248",12.4,"14,068"
